Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, GeneratorLoss
176.609, 1300, 0.362745, 43.75, 1.072194
177.799, 1310, 0.137051, 82.81, 1.110115
179.007, 1320, 0.220157, 65.62, 1.013553
180.253, 1330, 0.199914, 64.06, 1.064238
181.464, 1340, 0.112626, 90.62, 0.892347
182.642, 1350, 0.215166, 70.31, 1.204993
183.810, 1360, 0.216747, 60.94, 0.961217
185.033, 1370, 0.156030, 81.25, 1.060190
186.240, 1380, 0.201536, 67.19, 1.043765
187.440, 1390, 0.201374, 71.88, 0.973783
188.632, 1400, 0.221432, 67.19, 1.065549
190.226, 1410, 0.136480, 85.94, 1.038899
191.380, 1420, 0.181470, 73.44, 0.992489
192.598, 1430, 0.227144, 60.94, 1.039568
193.784, 1440, 0.172853, 75.00, 0.955180
195.010, 1450, 0.168538, 81.25, 0.948283
196.232, 1460, 0.212557, 64.06, 0.747221
197.456, 1470, 0.245847, 56.25, 0.980587
198.645, 1480, 0.190628, 71.88, 0.746836
199.882, 1490, 0.136494, 84.38, 0.812736
201.086, 1500, 0.205504, 71.88, 0.875645
202.304, 1510, 0.107919, 84.38, 0.881141
203.494, 1520, 0.164271, 76.56, 0.902698
204.722, 1530, 0.175207, 82.81, 0.959131
205.942, 1540, 0.178904, 71.88, 0.945851
207.126, 1550, 0.296337, 56.25, 1.030573
208.352, 1560, 0.139970, 82.81, 0.929772
209.564, 1570, 0.210557, 67.19, 0.795038
210.779, 1580, 0.247391, 65.62, 0.979283
211.975, 1590, 0.227189, 59.38, 0.843618
213.220, 1600, 0.173064, 79.69, 1.081427
214.907, 1610, 0.224384, 65.62, 1.149017
216.060, 1620, 0.174071, 73.44, 0.878390
217.304, 1630, 0.170089, 78.12, 1.093975
218.496, 1640, 0.203137, 70.31, 0.937070
219.708, 1650, 0.235438, 68.75, 0.801555
220.882, 1660, 0.142636, 85.94, 0.868519
222.141, 1670, 0.177481, 71.88, 0.892989
223.375, 1680, 0.212513, 54.69, 0.886166
224.606, 1690, 0.202980, 75.00, 0.739711
225.846, 1700, 0.241196, 67.19, 0.846077
