Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, GeneratorLoss
178.324, 1300, 0.657745, 60.94, 1.367026
179.446, 1310, 0.699381, 62.50, 1.036452
180.575, 1320, 0.581719, 67.19, 1.192245
181.706, 1330, 0.632575, 71.88, 1.388582
182.836, 1340, 0.563179, 73.44, 1.212494
184.131, 1350, 0.482580, 79.69, 1.314306
185.410, 1360, 0.627293, 68.75, 1.204278
186.640, 1370, 0.573156, 70.31, 1.178522
187.793, 1380, 0.578276, 70.31, 1.155186
188.933, 1390, 0.594377, 70.31, 1.357168
190.058, 1400, 0.719786, 56.25, 1.155819
191.752, 1410, 0.630461, 60.94, 1.150846
192.900, 1420, 0.552278, 79.69, 1.242070
194.041, 1430, 0.615238, 70.31, 1.264049
195.198, 1440, 0.663343, 59.38, 1.112060
196.421, 1450, 0.597796, 64.06, 1.222920
197.584, 1460, 0.568636, 76.56, 1.074085
198.718, 1470, 0.530025, 76.56, 1.215990
199.865, 1480, 0.609137, 68.75, 1.217589
201.100, 1490, 0.600004, 73.44, 1.091883
202.440, 1500, 0.651903, 56.25, 1.083634
203.913, 1510, 0.604016, 76.56, 0.991351
205.229, 1520, 0.638177, 68.75, 1.070346
206.949, 1530, 0.588190, 68.75, 1.103784
208.269, 1540, 0.579336, 68.75, 1.223963
209.543, 1550, 0.620737, 67.19, 1.211839
210.993, 1560, 0.539247, 70.31, 1.183617
212.586, 1570, 0.755813, 51.56, 1.116375
214.215, 1580, 0.510996, 87.50, 1.109151
215.764, 1590, 0.605085, 64.06, 1.204312
217.363, 1600, 0.632483, 60.94, 1.113010
219.123, 1610, 0.593630, 65.62, 1.212854
220.384, 1620, 0.546890, 76.56, 1.267123
221.696, 1630, 0.574650, 71.88, 1.352563
223.055, 1640, 0.602883, 65.62, 1.092208
224.291, 1650, 0.607733, 64.06, 1.220817
225.549, 1660, 0.568574, 71.88, 1.143429
226.772, 1670, 0.550838, 79.69, 1.251183
228.083, 1680, 0.579749, 68.75, 1.271771
229.368, 1690, 0.582471, 70.31, 1.191683
230.704, 1700, 0.582443, 70.31, 1.277928
231.986, 1710, 0.568873, 73.44, 1.109682
233.392, 1720, 0.574310, 73.44, 1.336155
234.724, 1730, 0.467358, 87.50, 1.902443
236.172, 1740, 0.546614, 76.56, 1.694977
237.402, 1750, 0.589434, 64.06, 1.541368
238.645, 1760, 0.680102, 59.38, 1.754365
239.781, 1770, 0.543458, 76.56, 1.213475
240.909, 1780, 0.509149, 82.81, 1.224587
242.146, 1790, 0.515530, 76.56, 1.654465
243.474, 1800, 0.488353, 81.25, 1.751370
245.072, 1810, 0.571076, 68.75, 1.561775
246.244, 1820, 0.582946, 70.31, 1.674368
247.413, 1830, 0.495197, 84.38, 1.748516
248.645, 1840, 0.442204, 82.81, 1.741870
249.812, 1850, 0.488284, 78.12, 2.250223
251.039, 1860, 0.456713, 78.12, 2.228838
252.202, 1870, 0.468713, 84.38, 1.962863
253.420, 1880, 0.606154, 64.06, 2.598296
254.582, 1890, 0.405775, 84.38, 2.696066
255.728, 1900, 0.436417, 84.38, 1.960523
256.877, 1910, 0.500912, 75.00, 1.899210
258.052, 1920, 0.382264, 87.50, 2.006342
259.234, 1930, 0.643632, 67.19, 3.064292
260.384, 1940, 0.332570, 93.75, 3.093553
261.534, 1950, 0.499315, 76.56, 2.472408
262.715, 1960, 0.348542, 87.50, 3.598919
263.967, 1970, 0.396793, 93.75, 2.400284
265.277, 1980, 0.412521, 90.62, 2.655749
266.606, 1990, 0.354461, 87.50, 2.467333
267.812, 2000, 0.359540, 85.94, 2.512871
269.545, 2010, 0.376697, 85.94, 3.965818
270.799, 2020, 0.420503, 78.12, 3.017768
272.145, 2030, 0.405591, 82.81, 2.396388
273.689, 2040, 0.334072, 87.50, 2.814566
274.925, 2050, 0.393984, 84.38, 2.408529
276.122, 2060, 0.326050, 93.75, 3.328850
277.389, 2070, 0.396371, 84.38, 3.242152
278.691, 2080, 0.402083, 81.25, 2.323210
279.965, 2090, 0.300279, 95.31, 2.744201
281.169, 2100, 0.346990, 87.50, 2.541521
282.428, 2110, 0.432908, 79.69, 2.220995
283.720, 2120, 0.365954, 85.94, 2.128550
284.991, 2130, 0.314127, 87.50, 2.365697
286.234, 2140, 0.525375, 76.56, 3.069741
287.695, 2150, 0.412248, 82.81, 2.527127
288.897, 2160, 0.386871, 85.94, 3.218364
290.084, 2170, 0.449670, 79.69, 2.519763
291.230, 2180, 0.345396, 92.19, 2.481508
292.401, 2190, 0.441819, 78.12, 4.471088
293.539, 2200, 0.541289, 68.75, 2.733793
295.161, 2210, 0.422518, 81.25, 2.938065
296.349, 2220, 0.319016, 89.06, 2.655735
297.498, 2230, 0.447511, 79.69, 2.949043
298.615, 2240, 0.424767, 82.81, 2.246206
299.831, 2250, 0.445791, 79.69, 2.415095
300.967, 2260, 0.373865, 81.25, 3.420009
302.098, 2270, 0.360631, 85.94, 3.147933
