Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, DiscriminatorOpAcc, GeneratorLoss
1118.372, 1070, 0.420919, 59.38, 50.00, 1.054892
1127.897, 1080, 0.401855, 59.38, 50.00, 0.985810
1137.351, 1090, 0.417017, 53.12, 50.00, 1.034751
1146.759, 1100, 0.418482, 45.31, 50.00, 0.875955
1156.285, 1110, 0.421896, 51.56, 50.00, 0.984680
1165.690, 1120, 0.462504, 54.69, 50.00, 1.072535
1175.149, 1130, 0.446162, 48.44, 51.56, 1.021492
1184.695, 1140, 0.408298, 54.69, 50.00, 1.019240
1194.167, 1150, 0.420445, 64.06, 50.00, 1.154220
1203.596, 1160, 0.386987, 56.25, 51.56, 1.207578
1213.161, 1170, 0.387660, 59.38, 50.00, 1.013212
1222.606, 1180, 0.329226, 71.88, 50.00, 1.104872
1232.018, 1190, 0.373365, 62.50, 50.00, 1.027020
1241.475, 1200, 0.415165, 51.56, 50.00, 1.086422
1251.574, 1210, 0.408064, 64.06, 50.00, 1.327337
1260.933, 1220, 0.433183, 54.69, 50.00, 0.975868
1270.323, 1230, 0.464553, 53.12, 50.00, 0.852050
1279.790, 1240, 0.417155, 59.38, 50.00, 0.978475
1289.447, 1250, 0.458526, 43.75, 50.00, 1.060581
1298.866, 1260, 0.366768, 64.06, 50.00, 0.886116
1308.380, 1270, 0.410558, 56.25, 51.56, 1.143447
1317.893, 1280, 0.416293, 56.25, 50.00, 1.149022
1327.286, 1290, 0.492187, 48.44, 50.00, 0.925582
1336.818, 1300, 0.442705, 54.69, 50.00, 1.107138
1346.237, 1310, 0.392313, 65.62, 50.00, 1.158398
1355.607, 1320, 0.375781, 62.50, 50.00, 1.084188
1365.196, 1330, 0.378745, 57.81, 50.00, 1.024036
1374.626, 1340, 0.442061, 48.44, 50.00, 1.199588
1384.093, 1350, 0.365865, 64.06, 50.00, 1.232124
1393.584, 1360, 0.317901, 73.44, 50.00, 1.306399
1402.933, 1370, 0.504911, 40.62, 48.44, 0.982573
1412.303, 1380, 0.441592, 46.88, 50.00, 1.106773
1421.680, 1390, 0.421524, 46.88, 50.00, 1.003087
1431.169, 1400, 0.420384, 53.12, 50.00, 1.068055
1441.091, 1410, 0.420897, 56.25, 48.44, 1.094774
1450.510, 1420, 0.400073, 59.38, 50.00, 1.026634
1459.979, 1430, 0.406954, 54.69, 50.00, 1.054749
1469.403, 1440, 0.405667, 62.50, 50.00, 1.029894
1478.846, 1450, 0.381195, 60.94, 50.00, 1.172547
1488.366, 1460, 0.455398, 51.56, 50.00, 0.838174
1497.752, 1470, 0.406087, 54.69, 51.56, 1.132286
1507.090, 1480, 0.450355, 45.31, 50.00, 1.079416
1516.620, 1490, 0.410729, 50.00, 50.00, 0.895231
1526.021, 1500, 0.393473, 68.75, 50.00, 1.006888
1535.408, 1510, 0.390589, 56.25, 50.00, 1.090587
1544.902, 1520, 0.349915, 67.19, 50.00, 1.118947
1554.321, 1530, 0.407322, 56.25, 50.00, 1.158013
1563.746, 1540, 0.396768, 60.94, 50.00, 1.127706
1573.226, 1550, 0.450952, 51.56, 50.00, 0.945370
1582.628, 1560, 0.378149, 59.38, 50.00, 1.096841
1592.013, 1570, 0.435044, 59.38, 50.00, 1.163711
1601.409, 1580, 0.384655, 57.81, 50.00, 1.066429
1610.912, 1590, 0.474443, 42.19, 50.00, 0.806309
1620.296, 1600, 0.420733, 54.69, 50.00, 0.851274
1630.270, 1610, 0.349311, 67.19, 50.00, 1.073977
1639.737, 1620, 0.416399, 50.00, 50.00, 0.946852
1649.109, 1630, 0.409875, 65.62, 50.00, 0.932885
1658.470, 1640, 0.486021, 37.50, 50.00, 1.018318
1667.984, 1650, 0.450022, 51.56, 50.00, 0.961378
1677.443, 1660, 0.420508, 50.00, 50.00, 1.227241
1686.833, 1670, 0.396723, 60.94, 50.00, 0.914265
1696.302, 1680, 0.425518, 54.69, 50.00, 0.949273
1705.688, 1690, 0.417994, 54.69, 50.00, 0.904610
1715.058, 1700, 0.423929, 56.25, 50.00, 1.062221
1724.546, 1710, 0.434781, 53.12, 50.00, 0.930749
1733.956, 1720, 0.488950, 35.94, 50.00, 0.954173
1743.325, 1730, 0.382647, 64.06, 50.00, 1.102368
1752.812, 1740, 0.422836, 53.12, 50.00, 0.974084
1762.270, 1750, 0.365596, 62.50, 50.00, 0.907581
1771.711, 1760, 0.386559, 57.81, 50.00, 1.012219
1781.110, 1770, 0.471706, 43.75, 50.00, 0.855042
1790.610, 1780, 0.382379, 62.50, 50.00, 1.005036
1800.110, 1790, 0.410387, 54.69, 50.00, 0.983973
1809.605, 1800, 0.377513, 62.50, 50.00, 1.069138
1819.604, 1810, 0.470534, 45.31, 50.00, 1.064348
1829.020, 1820, 0.452275, 50.00, 50.00, 1.019328
1838.436, 1830, 0.446074, 45.31, 50.00, 0.866907
1847.987, 1840, 0.379648, 67.19, 50.00, 1.019087
1857.425, 1850, 0.391374, 59.38, 50.00, 0.941877
1866.775, 1860, 0.386505, 64.06, 50.00, 0.919422
1876.275, 1870, 0.393778, 56.25, 50.00, 1.098185
1885.669, 1880, 0.392365, 56.25, 51.56, 0.804584
1895.071, 1890, 0.361406, 64.06, 50.00, 1.058446
1904.568, 1900, 0.457984, 48.44, 50.00, 0.990291
1913.941, 1910, 0.378444, 57.81, 50.00, 0.988203
1923.660, 1920, 0.395980, 57.81, 50.00, 0.985433
1933.256, 1930, 0.460316, 50.00, 50.00, 0.899808
1942.884, 1940, 0.413851, 62.50, 48.44, 0.765362
1952.510, 1950, 0.399703, 57.81, 50.00, 1.051225
1963.344, 1960, 0.395040, 56.25, 50.00, 0.938203
1974.555, 1970, 0.412115, 50.00, 50.00, 1.060996
1984.658, 1980, 0.432326, 60.94, 48.44, 0.988189
1994.190, 1990, 0.379548, 57.81, 50.00, 1.030560
2003.638, 2000, 0.411384, 53.12, 50.00, 0.869538
2013.591, 2010, 0.449810, 53.12, 50.00, 0.991690
2023.104, 2020, 0.413589, 59.38, 50.00, 0.859840
2032.590, 2030, 0.387843, 57.81, 50.00, 1.041193
2041.995, 2040, 0.423538, 50.00, 50.00, 1.009216
2051.451, 2050, 0.390126, 65.62, 50.00, 1.052134
2060.983, 2060, 0.417290, 57.81, 50.00, 0.995735
2070.383, 2070, 0.451587, 42.19, 50.00, 0.970753
