Time, Epoch, DiscriminatorLoss, DiscriminatorAcc, GeneratorLoss
1430.811, 1280, 0.557605, 78.12, 0.848550
1440.504, 1290, 0.597911, 64.06, 1.014493
1450.326, 1300, 0.747275, 42.19, 0.967509
1460.492, 1310, 0.701642, 59.38, 0.894290
1470.197, 1320, 0.783917, 46.88, 0.647578
1480.016, 1330, 0.704547, 59.38, 1.236448
1489.694, 1340, 0.703437, 56.25, 0.982895
1499.411, 1350, 0.740230, 51.56, 0.802532
1509.734, 1360, 0.834212, 43.75, 0.916420
1519.464, 1370, 0.754056, 51.56, 0.988739
1529.211, 1380, 0.687179, 64.06, 0.998362
1538.974, 1390, 0.691467, 59.38, 0.971569
1548.663, 1400, 0.773312, 45.31, 0.910256
1558.942, 1410, 0.851872, 32.81, 0.900675
1568.736, 1420, 0.665220, 64.06, 1.104154
1578.398, 1430, 0.790663, 48.44, 0.714865
1588.065, 1440, 0.786370, 46.88, 1.002496
1597.841, 1450, 0.813897, 46.88, 0.913544
1608.015, 1460, 0.801023, 37.50, 0.847101
1617.665, 1470, 0.701515, 56.25, 1.002059
1627.457, 1480, 0.799010, 46.88, 0.866203
1637.148, 1490, 0.640002, 67.19, 0.943275
1646.783, 1500, 0.788427, 48.44, 0.848429
1657.127, 1510, 0.689128, 57.81, 0.945172
1666.855, 1520, 0.607936, 68.75, 0.826698
1676.556, 1530, 0.704887, 59.38, 1.069133
1686.345, 1540, 0.709221, 53.12, 1.214769
1696.298, 1550, 0.732964, 54.69, 0.864387
1706.575, 1560, 0.772124, 43.75, 1.140548
1716.323, 1570, 0.772028, 46.88, 0.901801
1726.049, 1580, 0.791045, 46.88, 0.842573
1735.673, 1590, 0.750810, 53.12, 1.087446
1745.405, 1600, 0.702919, 56.25, 0.759012
1755.724, 1610, 0.717166, 57.81, 0.924901
1765.413, 1620, 0.744705, 48.44, 0.971965
1775.062, 1630, 0.712127, 62.50, 0.971565
1784.840, 1640, 0.783090, 48.44, 0.935791
1794.496, 1650, 0.860351, 35.94, 0.776929
1804.709, 1660, 0.609624, 65.62, 0.985110
1814.531, 1670, 0.793262, 42.19, 0.851982
1824.271, 1680, 0.608457, 64.06, 0.868132
1833.942, 1690, 0.720069, 64.06, 0.787265
1843.669, 1700, 0.798386, 40.62, 0.876367
1853.874, 1710, 0.703605, 51.56, 0.925014
1863.623, 1720, 0.730855, 57.81, 0.933949
1873.438, 1730, 0.678681, 59.38, 0.964109
1883.162, 1740, 0.790664, 42.19, 0.793759
1892.842, 1750, 0.767511, 48.44, 1.010122
1903.083, 1760, 0.707100, 53.12, 0.871682
1912.769, 1770, 0.717832, 56.25, 0.888209
1922.396, 1780, 0.747520, 43.75, 0.956431
1932.238, 1790, 0.755248, 45.31, 0.949867
1941.972, 1800, 0.724223, 50.00, 0.996203
1952.233, 1810, 0.773333, 45.31, 1.049116
1962.007, 1820, 0.774077, 43.75, 1.114256
1971.663, 1830, 0.698478, 57.81, 0.903270
1981.383, 1840, 0.678224, 53.12, 1.118310
1991.111, 1850, 0.658755, 60.94, 0.833394
2001.298, 1860, 0.730302, 45.31, 0.793024
2010.999, 1870, 0.759345, 56.25, 0.823924
2020.762, 1880, 0.614182, 62.50, 1.058156
2030.437, 1890, 0.696432, 59.38, 0.816851
2040.111, 1900, 0.645125, 67.19, 0.863518
2050.415, 1910, 0.721014, 53.12, 0.973668
2060.147, 1920, 0.798647, 45.31, 1.026104
2069.842, 1930, 0.640273, 62.50, 0.931833
2079.638, 1940, 0.704948, 57.81, 0.938156
2089.346, 1950, 0.833872, 37.50, 0.816146
2099.649, 1960, 0.843644, 42.19, 0.855892
2109.516, 1970, 0.731372, 53.12, 0.646305
2119.166, 1980, 0.743096, 48.44, 0.986416
2128.781, 1990, 0.799962, 42.19, 0.852182
2138.575, 2000, 0.769027, 51.56, 0.758938
2148.808, 2010, 0.761875, 48.44, 0.813664
2158.488, 2020, 0.810874, 42.19, 0.736228
2168.252, 2030, 0.729177, 46.88, 0.914019
2177.968, 2040, 0.848768, 35.94, 0.882586
2187.682, 2050, 0.822265, 39.06, 0.677985
2198.046, 2060, 0.586984, 65.62, 1.001668
2207.782, 2070, 0.686888, 57.81, 0.858253
2217.484, 2080, 0.779187, 50.00, 0.775789
2227.268, 2090, 0.708831, 54.69, 1.046154
2237.046, 2100, 0.695307, 56.25, 0.971215
2247.304, 2110, 0.601292, 62.50, 0.872426
2257.136, 2120, 0.700668, 56.25, 0.817987
2266.752, 2130, 0.639183, 67.19, 0.693757
2276.423, 2140, 0.870240, 32.81, 0.793746
2286.177, 2150, 0.683282, 56.25, 0.746395
2296.390, 2160, 0.771659, 48.44, 0.846143
2306.061, 2170, 0.764312, 46.88, 0.928781
2315.826, 2180, 0.826416, 48.44, 0.760972
2325.528, 2190, 0.841759, 34.38, 0.840107
2335.308, 2200, 0.819561, 43.75, 0.891749
2345.637, 2210, 0.671466, 62.50, 0.702006
2355.362, 2220, 0.839310, 40.62, 0.822004
2365.086, 2230, 0.737554, 46.88, 0.852812
2374.789, 2240, 0.707192, 48.44, 1.033986
2384.619, 2250, 0.737800, 48.44, 0.785729
2394.773, 2260, 0.688078, 59.38, 0.798179
2404.449, 2270, 0.607484, 76.56, 0.844768
2414.192, 2280, 0.722103, 48.44, 1.006285
2423.832, 2290, 0.763505, 42.19, 0.705200
2433.524, 2300, 0.798654, 42.19, 0.598840
2443.792, 2310, 0.654098, 65.62, 0.898714
2453.484, 2320, 0.956918, 34.38, 0.902898
2463.188, 2330, 0.487738, 75.00, 0.736191
2472.944, 2340, 0.618620, 68.75, 0.977518
2482.592, 2350, 0.683445, 56.25, 0.801914
2492.932, 2360, 0.821269, 43.75, 0.766987
2502.690, 2370, 0.704095, 51.56, 0.767619
2512.345, 2380, 0.672246, 54.69, 0.885586
2521.995, 2390, 0.824064, 35.94, 0.824822
2531.866, 2400, 0.766604, 51.56, 0.888506
2542.147, 2410, 0.720445, 50.00, 0.869692
2551.854, 2420, 0.707527, 51.56, 0.825154
2561.604, 2430, 0.759976, 48.44, 0.960610
2571.332, 2440, 0.761153, 46.88, 0.491308
2581.012, 2450, 0.879646, 32.81, 0.538329
2591.261, 2460, 0.872470, 29.69, 0.882248
2601.186, 2470, 0.739493, 46.88, 0.739121
2610.909, 2480, 0.638400, 60.94, 0.717555
2620.699, 2490, 0.750927, 46.88, 0.727922
2630.410, 2500, 0.942243, 26.56, 0.850982
2640.730, 2510, 0.808838, 51.56, 0.532635
2650.485, 2520, 0.750823, 45.31, 0.631365
2660.131, 2530, 0.660723, 54.69, 0.935103
2669.810, 2540, 0.856571, 40.62, 0.814878
2679.589, 2550, 0.690750, 54.69, 0.752150
2689.730, 2560, 0.694184, 59.38, 0.650384
2699.377, 2570, 0.603078, 67.19, 0.916601
2709.146, 2580, 0.627882, 60.94, 0.622648
2718.785, 2590, 0.600209, 68.75, 0.608478
2728.422, 2600, 0.812128, 35.94, 0.991226
2738.746, 2610, 0.758009, 50.00, 0.637023
2748.448, 2620, 0.833320, 34.38, 0.714121
2758.132, 2630, 0.646593, 64.06, 0.915592
2767.913, 2640, 0.814777, 51.56, 0.870544
